flight, time , var, type, p goo, p bad 
20221003_flight4.csv , 247 , dscrPBNdeviationIntegrCorr , d , 0.027293826806464496 , 0.16049540069389848
20221003_flight4.csv , 248 , dscrPBNdeviationIntegrCorr , d , 0.03396520812271261 , 0.20180531341140717
20221003_flight5.csv , 22 , dscrPBNdeviationIntegrCorr , d , 0.0878879760244896 , 0.20180531341140717
20221003_flight5.csv , 44 , dscrTimeMapCheck , d , 0.19370242735347934 , 0.489421265863483
20221003_flight5.csv , 45 , dscrTimeMapCheck , d , 0.23722728806815985 , 0.489421265863483
20221003_flight5.csv , 55 , dscrTimeNavlogCheck , d , 0.04871081705613059 , 0.10346332953009
20221003_flight5.csv , 62 , dscrPBNdeviationIntegrCorr , d , 0.07461952340494153 , 0.16049540069389848
20221003_flight5.csv , 79 , dscrTimeMapCheck , d , 0.22231530499832503 , 0.489421265863483
20221003_flight5.csv , 147 , dscrPBNdeviationIntegrCorr , d , 0.050137564586298866 , 0.16049540069389848
20221003_flight5.csv , 148 , dscrPBNdeviationIntegrCorr , d , 0.042801097326451557 , 0.16049540069389848
20221003_flight5.csv , 165 , dscrTimeNavlogCheck , d , 0.04435479395219763 , 0.10346332953009
20221003_flight5.csv , 172 , dscrTimeNavlogCheck , d , 0.0417636552127521 , 0.10346332953009
20221003_flight6.csv , 45 , dscrTimeMapCheck , d , 0.20307498227317 , 0.489421265863483
20221003_flight6.csv , 90 , dscrTimeNavlogCheck , d , 0.03609616695471896 , 0.10346332953009
20221003_flight6.csv , 121 , dscrTimeNavlogCheck , d , 0.04060761918819698 , 0.10346332953009
20221003_flight6.csv , 151 , dscrTimeNavlogCheck , d , 0.1458606990969968 , 0.5101811613276711
20221003_flight6.csv , 182 , dscrTimeNavlogCheck , d , 0.010273364977266159 , 0.0240704524285
20221003_flight6.csv , 184 , dscrTimeMapCheck , d , 0.024701297427939868 , 0.051453784118553766
20221003_flight6.csv , 193 , dscrTimeTrackCheck , d , 0.12891387037735774 , 0.38706826540025097
20221003_flight6.csv , 197 , dscrTimeTrackCheck , d , 0.13168740413474594 , 0.38706826540025097
